Group,Batch,species,peakarea,logpeakarea,Class
B4,1,AcCar(16:0),6681824,22.67181055,AcCar
B4,1,AcCar(18:0),15232405,23.86064041,AcCar
B4,1,Cer-NS(d18:1/24:0),4554097.5,22.11873375,Cer-NS
B4,1,Cer-NS(d18:1/24:1),4596789,22.13219501,Cer-NS
B4,1,DG(18:0_20:4),8864887.5,23.07967089,DG
B4,1,DG(18:0_22:5),11859216.5,23.49950536,DG
B4,1,DG(18:1_18:1),388622250,28.53379326,DG
B4,1,DG(18:1_20:3),29434835,24.8110212,DG
B4,1,DGTS(35:1),9724536.5,23.21319806,DGTS
B4,1,HBMP(16:0_16:0_18:1),50204230,25.58130559,HBMP
B4,1,HBMP(16:0_16:0_18:2),9749507,23.21689784,HBMP
B4,1,HBMP(16:0_18:0_18:1),27768520,24.72694695,HBMP
B4,1,HBMP(16:0_18:1_16:0),54684210,25.70462098,HBMP
B4,1,HBMP(16:0_18:1_18:1),43407175,25.3714302,HBMP
B4,1,HBMP(16:0_18:2_16:0),12372225,23.56060164,HBMP
B4,1,HBMP(16:0_20:1_16:0),31633190,24.91493571,HBMP
B4,1,HBMP(16:0_20:2_16:0),49357355,25.55676175,HBMP
B4,1,HBMP(16:0_20:3_16:0),20383770,24.28091757,HBMP
B4,1,HBMP(18:0_18:0_18:1),3938675,21.90927895,HBMP
B4,1,HBMP(18:0_18:1_18:1),10915280,23.3798458,HBMP
B4,1,HBMP(18:0_18:2_18:0),11447925,23.44858279,HBMP
B4,1,HBMP(18:1_18:1_18:1),8648114.5,23.04395419,HBMP
B4,1,LPC(18:0),4114605,21.97232251,LPC
B4,1,PC(15:0_18:1),289286600,28.10792426,PC
B4,1,PC(16:0_16:0),1723131000,30.68238524,PC
B4,1,PC(16:0_16:1),28069860,24.74251853,PC
B4,1,PC(16:0_18:0),455336250,28.76235708,PC
B4,1,PC(16:0_18:1),12665690000,33.56020662,PC
B4,1,PC(16:0_18:2),1752727000,30.70695416,PC
B4,1,PC(16:0_18:3),12744705,23.60339464,PC
B4,1,PC(16:0_20:3),30174170,24.84681075,PC
B4,1,PC(16:0_20:4),277535700,28.04809812,PC
B4,1,PC(16:0_20:5),3846865,21.87525177,PC
B4,1,PC(16:0_22:5),450170600,28.7458966,PC
B4,1,PC(17:0_18:1),16243960,23.95340004,PC
B4,1,PC(18:0_18:1),2473580500,31.20395371,PC
B4,1,PC(18:1_18:1),1743125000,30.69902888,PC
B4,1,PE(14:0_18:1),11119215,23.4065516,PE
B4,1,PE(15:0_18:1),6504420.5,22.6329891,PE
B4,1,PE(16:0_18:0),3827626,21.86801844,PE
B4,1,PE(16:0_18:1),1169886500,30.12372142,PE
B4,1,PE(16:0_18:2),212775700,27.66475816,PE
B4,1,PE(16:0_18:3),28140055,24.74612181,PE
B4,1,PE(16:0_20:4),94763075,26.49782168,PE
B4,1,PE(16:0_20:5),47146915,25.49066004,PE
B4,1,PE(16:0_22:4),7255972.5,22.79073756,PE
B4,1,PE(16:0_22:5),38816465,25.2101654,PE
B4,1,PE(16:0_22:6),7027581.5,22.74459685,PE
B4,1,PE(17:0_18:1),12701460,23.598491,PE
B4,1,PE(18:0_18:1),467771250,28.80122795,PE
B4,1,PE(18:0_20:3),8860364,23.07893454,PE
B4,1,PE(18:0_20:4),105791475,26.65664813,PE
B4,1,PE(18:0_20:5),55667635,25.73033546,PE
B4,1,PE(18:0_22:5),56957090,25.7633721,PE
B4,1,PE(18:0_22:6),6227256.5,22.57016527,PE
B4,1,PE(18:1_18:1),339132000,28.33727168,PE
B4,1,PE(18:1_18:2),155892650,27.21597767,PE
B4,1,PE(18:1_20:4),91719680,26.45072799,PE
B4,1,PE(18:1_20:5),12205945,23.54108066,PE
B4,1,PE(32:0),26947185,24.68363124,PE
B4,1,PE(32:1),31187565,24.89446758,PE
B4,1,PE(33:1),17283540,24.0428954,PE
B4,1,PE(34:0),9146991,23.1248658,PE
B4,1,PE(34:3),75798170,26.17565968,PE
B4,1,PE(35:1),34693010,25.04814168,PE
B4,1,PE(36:4),38394415,25.19439313,PE
B4,1,PE(38:3),22665275,24.43398033,PE
B4,1,PE(38:4),21849620,24.38110485,PE
B4,1,PE(40:5),751107.35,19.51865959,PE
B4,1,PE(40:6),20533680,24.29148887,PE
B4,1,PG(16:0_18:1),79301240,26.24084009,PG
B4,1,PG(16:0_18:2),10759457,23.35910194,PG
B4,1,PG(18:0_18:1),20459285,24.28625239,PG
B4,1,PG(18:1_18:1),59291900,25.82133169,PG
B4,1,PG(18:1_18:2),19405410,24.20995558,PG
B4,1,PG(34:2),12154195,23.53495101,PG
B4,1,PG(36:1),20161170,24.26507603,PG
B4,1,PG(36:2),69959905,26.06002499,PG
