Group,Batch,species,peakarea,logpeakarea,Class
DMSO,1,PE(18:0_22:5),601692222.5,29.16445047,PE
DMSO,1,PE(18:1_18:1),2726466678,31.34438538,PE
DMSO,1,PE(18:1_18:2),1023526968,29.93090197,PE
DMSO,1,PE(18:1_20:4),687621450.7,29.35703931,PE
DMSO,1,PE(18:1_20:5),102955984.3,26.61745245,PE
DMSO,1,PE(32:2),35141849.98,25.06668681,PE
DMSO,1,PE(32:3),7022244.152,22.74350073,PE
DMSO,1,PE(36:5),21450287.23,24.35449363,PE
DMSO,1,PE(41:5),36062370.97,25.10399092,PE
DMSO,1,PG(16:0_18:1),519743543.4,28.95322469,PG
DMSO,1,PG(16:0_18:2),99286980.74,26.56510122,PG
DMSO,1,PG(16:0_20:4),13826290.42,23.7209108,PG
DMSO,1,PG(18:0_20:5),21755923.83,24.37490494,PG
DMSO,1,PG(18:1_18:1),597336429.4,29.15396847,PG
DMSO,1,PG(18:1_18:2),231691155.6,27.78762773,PG
DMSO,1,PG(18:1_20:4),34649768.74,25.04634239,PG
DMSO,1,PG(34:3),12572829.54,23.58380603,PG
DMSO,1,PG(36:4),38039077.33,25.18097892,PG
DMSO,1,PI(34:1),82149045.24,26.29174047,PI
DMSO,1,PI(36:1),401821276,28.58197871,PI
DMSO,1,PI(36:2),192339228.9,27.5190778,PI
DMSO,1,PI(36:3),16325048.7,23.96058396,PI
DMSO,1,Plasmanyl-LPC(O-16:1),8987514.696,23.09949079,Plasmanyl-LPC
DMSO,1,Plasmenyl-PE(P-16:0/18:1),12934138.54,23.62468063,Plasmenyl-PE
DMSO,1,Plasmenyl-PE(P-16:0/22:5),50780996.22,25.59778536,Plasmenyl-PE
DMSO,1,Plasmenyl-PE(P-18:0/22:4),44797480.02,25.41691424,Plasmenyl-PE
DMSO,1,Plasmenyl-PE(P-18:0/22:6),35099442.26,25.06494477,Plasmenyl-PE
DMSO,1,PS(16:0_18:1),143319382.8,27.09465849,PS
DMSO,1,PS(18:0_18:1),533640456.7,28.9912928,PS
DMSO,1,PS(18:0_20:4),176862689.6,27.39805449,PS
DMSO,1,PS(18:0_20:5),53286599.41,25.66726943,PS
DMSO,1,PS(18:0_22:6),29831367.68,24.83032679,PS
DMSO,1,PS(18:1_18:1),414003192.3,28.62506665,PS
DMSO,1,PS(18:1_18:2),64453378.64,25.94175265,PS
DMSO,1,PS(34:1),47355156.67,25.4970182,PS
DMSO,1,SM(d18:1/16:0),2366248360,31.13995436,SM
DMSO,1,SM(d18:1/22:0),478398608.9,28.83363795,SM
DMSO,1,SM(d18:1/24:0),1192266811,30.15105998,SM
DMSO,1,SM(d18:1/24:1),1718406838,30.67842449,SM
DMSO,1,TG(12:0_12:0_12:0),1166087.802,20.15324499,TG
DMSO,1,TG(14:0_16:1_18:2),19791917.47,24.23840805,TG
DMSO,1,TG(14:0_18:1_18:3),102895876.6,26.61660993,TG
DMSO,1,TG(15:0_18:1_18:3),22371684.05,24.41517052,TG
DMSO,1,TG(16:0_18:2_18:3),252853736.5,27.91372786,TG
DMSO,1,TG(16:0_18:2_20:5),198879961.5,27.56732268,TG
DMSO,1,TG(16:0_18:3_18:3),60954733.07,25.86123491,TG
DMSO,1,TG(16:0_18:3_22:6),51971005.24,25.63120363,TG
DMSO,1,TG(17:1_18:2_18:2),8427326.97,23.00664367,TG
DMSO,1,TG(18:1_18:2_18:3),272843962.9,28.02350088,TG
DMSO,1,TG(18:1_18:2_20:5),247476286.9,27.88271505,TG
DMSO,1,TG(18:1_18:3_22:6),34757169.15,25.05080725,TG
DMSO,1,TG(18:1_20:4_22:5),29327332.8,24.80574253,TG
DMSO,2,BMP(18:1_22:5),19559834.14,24.2213908,BMP
DMSO,2,Cer-NS(d18:1/22:0),23419576.85,24.48121167,Cer-NS
DMSO,2,Cer-NS(d18:1/24:0),57885788.12,25.78670585,Cer-NS
DMSO,2,Cer-NS(d18:1/24:1),59920638.74,25.83654967,Cer-NS
DMSO,2,DG(14:0_18:1),234147701.1,27.80284363,DG
DMSO,2,DG(14:0_18:2),21081640,24.32948377,DG
DMSO,2,DG(15:0_16:0),8024949.839,22.93606094,DG
DMSO,2,DG(15:0_18:1),123653441.2,26.88172715,DG
